物品编号	名字	几率	抽一万次得元宝价值
1613000021	超级生命之源	100	0
1242050500	蚀日之剑	120	0
1333000300	随机卷Ⅲ	1500	0
1633000202	3百点技能经验石	2000	0
1333001200	金钱神秘箱	2500	0
1333001900	仓库卷轴	3000	0
1333030600	血精森林藏宝图	3300	0
1333002001	治疗药水包（小）	4000	0
1433000502	二级麻料	4500	0
1633060010	复活药水	5000	0
1333500002	公会升级令	5500	0
1833040500	神之双倍戒指	5510	0
1633200001	替身娃娃	6500	0
1433000909	五级金刚石	7000	0
1313002700	50点技能经验石	7500	0
1313002800	离线挂机宝石	8000	0
1433001101	千年古木	8500	0
1613000011	魔力之源	9000	0
1633050023	6小时离线挂机宝石	9500	0
1433000703	三级植物纤维	10000	0
