X坐标	Y坐标	怪物数据编号	怪物掉落编号	怪物行为编号	分组编号	是否队长
x	y	monsterID	plunderID	behaviorID	groupID	isLeader
16	45	60000003	70000003	80000001	0	0
17	53	60000003	70000003	80000001	0	0
17	59	60000003	70000003	80000001	0	0
23	60	60000003	70000003	80000001	0	0
30	60	60000003	70000003	80000001	0	0
37	60	60000003	70000003	80000001	0	0
45	46	60000003	70000003	80000001	0	0
45	39	60000003	70000003	80000001	0	0
45	31	60000003	70000003	80000001	0	0
45	22	60000003	70000003	80000001	0	0
37	22	60000003	70000003	80000001	0	0
16	38	60000003	70000003	80000001	0	0
16	31	60000003	70000003	80000001	0	0
17	22	60000003	70000003	80000001	0	0
25	22	60000003	70000003	80000001	0	0
45	60	60000003	70000003	80000001	0	0
45	53	60000003	70000003	80000001	0	0
