X坐标	Y坐标	怪物数据编号	怪物掉落编号	怪物行为编号	分组编号	是否队长
x	y	monsterID	plunderID	behaviorID	groupID	isLeader
12	27	63010206	73010206	80020006	0	0
17	27	63010206	73010206	80020006	0	0
21	27	63010206	73010206	80020006	0	0
26	27	63010206	73010206	80020006	0	0
30	27	63010206	73010206	80020006	0	0
42	27	63010206	73010206	80020006	0	0
47	27	63010206	73010206	80020006	0	0
51	27	63010206	73010206	80020006	0	0
56	27	63010206	73010206	80020006	0	0
60	27	63010206	73010206	80020006	0	0
62	47	63010206	73010206	80020006	0	0
57	47	63010206	73010206	80020006	0	0
53	47	63010206	73010206	80020006	0	0
48	47	63010206	73010206	80020006	0	0
44	47	63010206	73010206	80020006	0	0
39	47	63010206	73010206	80020006	0	0
29	47	63010206	73010206	80020006	0	0
24	47	63010206	73010206	80020006	0	0
20	47	63010206	73010206	80020006	0	0
15	47	63010206	73010206	80020006	0	0
11	47	63010206	73010206	80020006	0	0
