X坐标	Y坐标	怪物数据编号	怪物掉落编号	怪物行为编号	分组编号	是否队长
x	y	monsterID	plunderID	behaviorID	groupID	isLeader
18	20	60000066	70000066	80000006	0	0
16	24	60000066	70000066	80000006	0	0
20	28	60000066	70000066	80000013	0	0
22	21	60000066	70000066	80000006	0	0
22	26	60000066	70000066	80000006	0	0
15	31	60000066	70000066	80000013	0	0
20	35	60000066	70000066	80000006	0	0
24	32	60000066	70000066	80000006	0	0
20	51	60000066	70000066	80000013	0	0
17	55	60000066	70000066	80000006	0	0
13	56	60000066	70000066	80000006	0	0
14	63	60000066	70000066	80000013	0	0
17	59	60000066	70000066	80000006	0	0
25	61	60000067	70000067	80000006	0	0
21	58	60000066	70000066	80000013	0	0
45	63	60000067	70000067	80000006	0	0
45	57	60000067	70000067	80000006	0	0
29	62	60000067	70000067	80000013	0	0
33	62	60000067	70000067	80000006	0	0
36	61	60000067	70000067	80000006	0	0
40	62	60000067	70000067	80000013	0	0
41	57	60000067	70000067	80000006	0	0
25	55	60000067	70000067	80000006	0	0
21	62	60000067	70000067	80000013	0	0
47	49	60000067	70000067	80000006	0	0
41	43	60000068	70000068	80000006	0	0
36	42	60000068	70000068	80000013	0	0
47	35	60000068	70000068	80000006	0	0
38	24	60000068	70000068	80000006	0	0
35	22	60000068	70000068	80000013	0	0
37	18	60000068	70000068	80000006	0	0
41	17	60000068	70000068	80000006	0	0
47	19	60000068	70000068	80000013	0	0
