X坐标	Y坐标	怪物数据编号	怪物掉落编号	怪物行为编号	分组编号	是否队长
x	y	monsterID	plunderID	behaviorID	groupID	isLeader
67	60	63010137	0	83010136	0	0
64	83	63010138	0	83010137	0	0
65	83	63010137	0	83010138	0	0
51	46	60000004	70000004	83010139	0	0
43	46	60000004	70000004	83010139	0	0
55	41	60000004	70000004	83010139	0	0
49	42	60000004	70000004	83010139	0	0
53	50	60000004	70000004	83010139	0	0
49	49	60000004	70000004	83010139	0	0
47	56	60000004	70000004	83010139	0	0
45	50	60000004	70000004	83010139	0	0
56	72	60000004	70000004	83010139	0	0
52	69	60000004	70000004	83010139	0	0
12	41	63010132	73010132	83010132	0	0
17	36	63010132	73010132	83010132	0	0
11	29	63010132	73010132	83010132	0	0
21	45	63010132	73010132	83010132	0	0
23	28	63010132	73010132	83010132	0	0
26	35	63010132	73010132	83010132	0	0
36	39	63010132	73010132	83010132	0	0
43	34	63010132	73010132	83010132	0	0
52	25	63010132	73010132	83010132	0	0
50	32	63010132	73010132	83010132	0	0
41	21	63010132	73010132	83010132	0	0
44	15	63010132	73010132	83010132	0	0
34	17	63010132	73010132	83010132	0	0
29	18	63010132	73010132	83010132	0	0
30	25	63010132	73010132	83010132	0	0
22	22	63010132	73010132	83010132	0	0
10	48	63010132	73010132	83010132	0	0
16	53	63010132	73010132	83010132	0	0
29	44	63010132	73010132	83010132	0	0
37	15	63010133	73010133	83010133	0	0
46	17	63010133	73010133	83010133	0	0
42	20	63010133	73010133	83010133	0	0
54	26	63010133	73010133	83010133	0	0
48	32	63010133	73010133	83010133	0	0
40	34	63010133	73010133	83010133	0	0
35	36	63010133	73010133	83010133	0	0
26	18	63010133	73010133	83010133	0	0
29	27	63010133	73010133	83010133	0	0
30	26	63010134	73010134	83010134	0	0
10	31	63010133	73010133	83010133	0	0
10	39	63010133	73010133	83010133	0	0
10	50	63010133	73010133	83010133	0	0
16	51	63010133	73010133	83010133	0	0
20	44	63010133	73010133	83010133	0	0
18	35	63010133	73010133	83010133	0	0
30	43	63010133	73010133	83010133	0	0
27	34	63010133	73010133	83010133	0	0
19	23	63010133	73010133	83010133	0	0
21	28	63010133	73010133	83010133	0	0
16	37	63010134	73010134	83010134	0	0
19	45	63010134	73010134	83010134	0	0
11	50	63010134	73010134	83010134	0	0
12	38	63010134	73010134	83010134	0	0
12	31	63010134	73010134	83010134	0	0
22	29	63010134	73010134	83010134	0	0
27	35	63010134	73010134	83010134	0	0
28	43	63010134	73010134	83010134	0	0
15	22	63010133	73010133	83010133	0	0
17	52	63010134	73010134	83010134	0	0
35	38	63010134	73010134	83010134	0	0
41	32	63010134	73010134	83010134	0	0
21	22	63010134	73010134	83010134	0	0
27	18	63010134	73010134	83010134	0	0
35	15	63010134	73010134	83010134	0	0
42	21	63010134	73010134	83010134	0	0
49	30	63010134	73010134	83010134	0	0
52	26	63010134	73010134	83010134	0	0
45	16	63010134	73010134	83010134	0	0
30	12	63010135	73010135	83010135	0	0
36	24	63010132	73010132	83010132	0	0
37	24	63010134	73010134	83010134	0	0
36	25	63010133	73010133	83010133	0	0
45	25	63010133	73010133	83010133	0	0
46	26	63010134	73010134	83010134	0	0
44	26	63010132	73010132	83010132	0	0
14	21	63010132	73010132	83010132	0	0
14	22	63010134	73010134	83010134	0	0
30	57	63010134	73010134	83010134	0	0
38	54	63010134	73010134	83010134	0	0
43	63	63010134	73010134	83010134	0	0
31	67	63010134	73010134	83010134	0	0
39	53	63010132	73010132	83010132	0	0
44	61	63010132	73010132	83010132	0	0
29	56	63010132	73010132	83010132	0	0
32	66	63010132	73010132	83010132	0	0
27	55	63010133	73010133	83010133	0	0
39	54	63010133	73010133	83010133	0	0
44	63	63010133	73010133	83010133	0	0
32	67	63010133	73010133	83010133	0	0
