X坐标	Y坐标	怪物数据编号	怪物掉落编号	怪物行为编号
x	y	monsterID	plunderID	behaviorID
67	21	60000011	70000011	80000003
50	24	60000011	70000011	80000003
54	28	60000011	70000011	80000003
55	19	60000011	70000011	80000003
50	31	60000011	70000011	80000003
53	35	60000011	70000011	80000003
51	39	60000011	70000011	80000003
89	168	60000018	70000018	80000003
59	56	60000011	70000011	80000003
55	53	60000011	70000011	80000003
62	60	60000011	70000011	80000003
67	60	60000011	70000011	80000003
70	54	60000011	70000011	80000003
115	168	60000017	70000017	80000003
81	58	60000011	70000011	80000003
48	177	60000018	70000018	80000003
87	59	60000011	70000011	80000003
90	53	60000011	70000011	80000003
46	172	60000018	70000018	80000003
94	59	60000011	70000011	80000003
97	54	60000011	70000011	80000003
99	46	60000011	70000011	80000003
93	45	60000011	70000011	80000003
87	48	60000011	70000011	80000003
82	51	60000011	70000011	80000003
84	41	60000011	70000011	80000003
89	38	60000011	70000011	80000003
95	37	60000011	70000011	80000003
92	30	60000011	70000011	80000003
88	24	60000011	70000011	80000003
91	19	60000011	70000011	80000003
85	32	60000011	70000011	80000003
81	26	60000011	70000011	80000003
78	19	60000011	70000011	80000003
76	27	60000011	70000011	80000003
79	33	60000011	70000011	80000003
76	37	60000011	70000011	80000003
75	47	60000011	70000011	80000003
76	54	60000011	70000011	80000003
64	52	60000011	70000011	80000003
66	45	60000011	70000011	80000003
55	45	60000011	70000011	80000003
60	39	60000011	70000011	80000003
59	46	60000011	70000011	80000003
61	31	60000011	70000011	80000003
61	23	60000011	70000011	80000003
69	38	60000011	70000011	80000003
68	28	60000011	70000011	80000003
41	20	60000012	70000012	80000003
44	26	60000012	70000012	80000003
35	23	60000012	70000012	80000003
39	27	60000012	70000012	80000003
40	33	60000012	70000012	80000003
46	34	60000012	70000012	80000003
32	27	60000012	70000012	80000003
33	33	60000012	70000012	80000003
28	30	60000012	70000012	80000003
36	39	60000012	70000012	80000003
42	40	60000012	70000012	80000003
47	42	60000012	70000012	80000003
41	46	60000012	70000012	80000003
48	50	60000012	70000012	80000003
43	54	60000012	70000012	80000003
49	57	60000012	70000012	80000003
37	51	60000012	70000012	80000003
33	44	60000012	70000012	80000003
86	174	60000018	70000018	80000003
41	60	60000012	70000012	80000003
83	168	60000018	70000018	80000003
30	38	60000012	70000012	80000003
24	33	60000012	70000012	80000003
21	39	60000012	70000012	80000003
25	41	60000012	70000012	80000003
28	46	60000012	70000012	80000003
32	52	60000012	70000012	80000003
27	55	60000012	70000012	80000003
21	44	60000012	70000012	80000003
18	49	60000012	70000012	80000003
21	53	60000012	70000012	80000003
23	61	60000012	70000012	80000003
24	67	60000012	70000012	80000003
29	70	60000012	70000012	80000003
75	168	60000018	70000018	80000003
94	24	60000013	70000013	80000003
97	19	60000013	70000013	80000003
100	22	60000013	70000013	80000003
98	27	60000013	70000013	80000003
99	33	60000013	70000013	80000003
104	20	60000013	70000013	80000003
103	27	60000013	70000013	80000003
104	34	60000013	70000013	80000003
108	30	60000013	70000013	80000003
108	24	60000013	70000013	80000003
113	26	60000013	70000013	80000003
119	22	60000013	70000013	80000003
123	18	60000013	70000013	80000003
124	24	60000013	70000013	80000003
120	27	60000013	70000013	80000003
113	32	60000013	70000013	80000003
112	38	60000013	70000013	80000003
110	46	60000013	70000013	80000003
115	44	60000013	70000013	80000003
113	51	60000013	70000013	80000003
115	56	60000013	70000013	80000003
51	183	60000018	70000018	80000003
