X坐标	Y坐标	怪物数据编号	怪物掉落编号	怪物行为编号	分组编号	是否队长
x	y	monsterID	plunderID	behaviorID	groupID	isLeader
17	70	60000019	70000019	80000005	0	0
15	74	60000019	70000019	80000005	0	0
21	69	60000019	70000019	80000013	0	0
21	74	60000019	70000019	80000005	0	0
14	80	60000019	70000019	80000005	0	0
19	79	60000019	70000019	80000013	0	0
24	80	60000019	70000019	80000005	0	0
26	70	60000019	70000019	80000005	0	0
30	64	60000019	70000019	80000013	0	0
28	74	60000019	70000019	80000005	0	0
33	70	60000019	70000019	80000005	0	0
30	81	60000019	70000019	80000013	0	0
34	83	60000019	70000019	80000005	0	0
17	85	60000019	70000019	80000005	0	0
21	86	60000019	70000019	80000013	0	0
19	92	60000019	70000019	80000005	0	0
14	95	60000019	70000019	80000005	0	0
20	97	60000019	70000019	80000013	0	0
25	94	60000019	70000019	80000005	0	0
26	87	60000019	70000019	80000005	0	0
31	87	60000019	70000019	80000013	0	0
17	100	60000019	70000019	80000005	0	0
13	107	60000019	70000019	80000005	0	0
17	108	60000019	70000019	80000013	0	0
20	103	60000019	70000019	80000005	0	0
24	102	60000019	70000019	80000005	0	0
24	108	60000019	70000019	80000013	0	0
16	113	60000019	70000019	80000005	0	0
39	80	60000019	70000019	80000005	0	0
36	75	60000019	70000019	80000013	0	0
42	75	60000019	70000019	80000005	0	0
46	77	60000019	70000019	80000005	0	0
39	68	60000019	70000019	80000013	0	0
44	68	60000019	70000019	80000005	0	0
35	64	60000019	70000019	80000005	0	0
35	55	60000019	70000019	80000013	0	0
40	59	60000019	70000019	80000005	0	0
42	53	60000019	70000019	80000005	0	0
44	63	60000019	70000019	80000013	0	0
52	80	60000020	70000020	80000005	0	0
55	95	60000020	70000020	80000005	0	0
137	141	60000026	70000026	80000013	0	0
53	89	60000020	70000020	80000005	0	0
57	86	60000020	70000020	80000005	0	0
59	80	60000020	70000020	80000013	0	0
55	74	60000020	70000020	80000005	0	0
50	72	60000020	70000020	80000005	0	0
59	71	60000020	70000020	80000013	0	0
55	67	60000020	70000020	80000005	0	0
50	65	60000020	70000020	80000005	0	0
50	57	60000020	70000020	80000013	0	0
55	60	60000020	70000020	80000005	0	0
60	64	60000020	70000020	80000005	0	0
45	56	60000020	70000020	80000013	0	0
47	51	60000020	70000020	80000005	0	0
52	52	60000020	70000020	80000005	0	0
93	72	60000022	70000022	80000013	0	0
97	67	60000022	70000022	80000005	0	0
94	62	60000022	70000022	80000005	0	0
97	57	60000022	70000022	80000013	0	0
90	65	60000020	70000020	80000005	0	0
91	58	60000022	70000022	80000005	0	0
86	50	60000022	70000022	80000013	0	0
91	30	60000022	70000022	80000005	0	0
87	30	60000020	70000020	80000005	0	0
91	35	60000022	70000022	80000013	0	0
88	45	60000022	70000022	80000005	0	0
94	37	60000022	70000022	80000005	0	0
96	43	60000022	70000022	80000013	0	0
93	47	60000022	70000022	80000005	0	0
94	54	60000022	70000022	80000005	0	0
91	41	60000022	70000022	80000013	0	0
90	51	60000022	70000022	80000005	0	0
81	33	60000020	70000020	80000005	0	0
86	57	60000020	70000020	80000013	0	0
128	145	60000026	70000026	80000005	0	0
131	162	60000026	70000026	80000005	0	0
88	72	60000020	70000020	80000013	0	0
63	74	60000020	70000020	80000005	0	0
130	152	60000026	70000026	80000005	0	0
63	69	60000020	70000020	80000013	0	0
67	71	60000020	70000020	80000005	0	0
81	66	60000020	70000020	80000005	0	0
74	74	60000020	70000020	80000013	0	0
45	45	60000020	70000020	80000005	0	0
42	39	60000020	70000020	80000005	0	0
45	34	60000020	70000020	80000013	0	0
47	39	60000020	70000020	80000005	0	0
50	45	60000020	70000020	80000005	0	0
55	48	60000020	70000020	80000013	0	0
53	40	60000020	70000020	80000005	0	0
50	34	60000020	70000020	80000005	0	0
47	28	60000020	70000020	80000013	0	0
48	22	60000020	70000020	80000005	0	0
52	18	60000020	70000020	80000005	0	0
53	23	60000020	70000020	80000013	0	0
51	28	60000020	70000020	80000005	0	0
56	29	60000020	70000020	80000005	0	0
57	25	60000020	70000020	80000013	0	0
54	35	60000020	70000020	80000005	0	0
57	39	60000020	70000020	80000005	0	0
59	45	60000020	70000020	80000013	0	0
63	46	60000020	70000020	80000005	0	0
59	32	60000020	70000020	80000005	0	0
62	28	60000020	70000020	80000013	0	0
58	20	60000020	70000020	80000005	0	0
63	17	60000020	70000020	80000005	0	0
63	22	60000020	70000020	80000013	0	0
66	26	60000020	70000020	80000005	0	0
69	19	60000020	70000020	80000005	0	0
72	17	60000020	70000020	80000013	0	0
86	37	60000020	70000020	80000005	0	0
70	24	60000020	70000020	80000005	0	0
78	26	60000020	70000020	80000013	0	0
75	21	60000020	70000020	80000005	0	0
80	17	60000020	70000020	80000005	0	0
95	31	60000022	70000022	80000013	0	0
83	24	60000020	70000020	80000005	0	0
85	19	60000020	70000020	80000005	0	0
88	24	60000020	70000020	80000013	0	0
123	59	60000022	70000022	80000005	0	0
72	68	60000020	70000020	80000005	0	0
67	64	60000020	70000020	80000013	0	0
62	59	60000020	70000020	80000005	0	0
58	54	60000020	70000020	80000005	0	0
62	51	60000020	70000020	80000013	0	0
66	54	60000020	70000020	80000005	0	0
67	49	60000020	70000020	80000005	0	0
70	51	60000020	70000020	80000013	0	0
75	56	60000020	70000020	80000005	0	0
71	57	60000020	70000020	80000005	0	0
73	63	60000020	70000020	80000013	0	0
81	58	60000020	70000020	80000005	0	0
78	62	60000020	70000020	80000005	0	0
84	62	60000020	70000020	80000013	0	0
84	69	60000020	70000020	80000005	0	0
82	74	60000020	70000020	80000005	0	0
78	72	60000020	70000020	80000013	0	0
76	67	60000020	70000020	80000005	0	0
132	137	60000026	70000026	80000005	0	0
53	105	60000021	70000021	80000013	0	0
133	145	60000026	70000026	80000005	0	0
55	112	60000021	70000021	80000005	0	0
50	110	60000021	70000021	80000013	0	0
46	107	60000021	70000021	80000005	0	0
56	117	60000021	70000021	80000005	0	0
14	117	60000021	70000021	80000013	0	0
19	116	60000021	70000021	80000005	0	0
24	114	60000021	70000021	80000005	0	0
29	111	60000021	70000021	80000013	0	0
19	166	60000023	70000023	80000005	0	0
20	178	60000023	70000023	80000005	0	0
14	181	60000023	70000023	80000013	0	0
16	173	60000023	70000023	80000005	0	0
24	165	60000023	70000023	80000014	0	0
28	162	60000023	70000023	80000013	0	0
15	160	60000023	70000023	80000005	0	0
22	159	60000023	70000023	80000005	0	0
28	155	60000023	70000023	80000013	0	0
111	60	60000022	70000022	80000005	0	0
116	63	60000022	70000022	80000005	0	0
15	153	60000021	70000021	80000013	0	0
