X坐标	Y坐标	怪物数据编号	怪物掉落编号	怪物行为编号	分组编号	是否队长
x	y	monsterID	plunderID	behaviorID	groupID	isLeader
131	134	60000028	70000028	80000005	0	0
127	129	60000028	70000028	80000005	0	0
130	125	60000028	70000028	80000013	0	0
124	124	60000028	70000028	80000005	0	0
120	126	60000028	70000028	80000005	0	0
117	133	60000028	70000028	80000013	0	0
114	127	60000028	70000028	80000005	0	0
117	122	60000028	70000028	80000005	0	0
127	120	60000028	70000028	80000013	0	0
125	116	60000028	70000028	80000005	0	0
130	113	60000028	70000028	80000005	0	0
13	18	60000035	70000035	80000013	0	0
13	24	60000035	70000035	80000005	0	0
127	108	60000028	70000028	80000005	0	0
133	108	60000028	70000028	80000013	0	0
101	151	60000028	70000028	80000005	0	0
98	146	60000028	70000028	80000005	0	0
103	145	60000028	70000028	80000013	0	0
105	152	60000028	70000028	80000005	0	0
109	150	60000028	70000028	80000005	0	0
113	151	60000028	70000028	80000013	0	0
116	148	60000028	70000028	80000005	0	0
112	145	60000028	70000028	80000005	0	0
117	143	60000028	70000028	80000013	0	0
120	139	60000028	70000028	80000005	0	0
112	139	60000028	70000028	80000005	0	0
107	142	60000028	70000028	80000013	0	0
103	138	60000028	70000028	80000005	0	0
99	141	60000028	70000028	80000005	0	0
97	135	60000028	70000028	80000013	0	0
20	62	60000035	70000035	80000005	0	0
91	120	60000028	70000028	80000005	0	0
86	120	60000028	70000028	80000013	0	0
88	126	60000028	70000028	80000005	0	0
82	125	60000028	70000028	80000005	0	0
84	130	60000028	70000028	80000013	0	0
88	132	60000028	70000028	80000005	0	0
94	130	60000028	70000028	80000005	0	0
96	124	60000028	70000028	80000013	0	0
99	129	60000028	70000028	80000005	0	0
103	132	60000028	70000028	80000005	0	0
26	64	60000035	70000035	80000013	0	0
96	119	60000028	70000028	80000005	0	0
18	55	60000035	70000035	80000005	0	0
100	121	60000028	70000028	80000013	0	0
106	118	60000028	70000028	80000005	0	0
103	126	60000028	70000028	80000005	0	0
108	136	60000028	70000028	80000013	0	0
112	132	60000028	70000028	80000005	0	0
108	129	60000028	70000028	80000005	0	0
114	118	60000028	70000028	80000013	0	0
109	122	60000028	70000028	80000005	0	0
118	152	60000029	70000029	80000005	0	0
115	157	60000029	70000029	80000013	0	0
121	157	60000029	70000029	80000005	0	0
119	160	60000029	70000029	80000005	0	0
116	163	60000029	70000029	80000013	0	0
122	165	60000029	70000029	80000005	0	0
118	168	60000029	70000029	80000005	0	0
126	178	60000029	70000029	80000013	0	0
122	178	60000029	70000029	80000005	0	0
123	171	60000029	70000029	80000005	0	0
118	176	60000029	70000029	80000013	0	0
115	171	60000029	70000029	80000005	0	0
111	166	60000029	70000029	80000005	0	0
110	173	60000029	70000029	80000013	0	0
107	169	60000029	70000029	80000005	0	0
113	178	60000029	70000029	80000005	0	0
105	174	60000029	70000029	80000013	0	0
108	179	60000029	70000029	80000005	0	0
104	183	60000029	70000029	80000005	0	0
101	178	60000029	70000029	80000013	0	0
101	168	60000029	70000029	80000005	0	0
98	173	60000029	70000029	80000005	0	0
97	182	60000029	70000029	80000013	0	0
95	178	60000029	70000029	80000005	0	0
90	182	60000029	70000029	80000005	0	0
90	174	60000029	70000029	80000013	0	0
94	171	60000029	70000029	80000005	0	0
97	166	60000029	70000029	80000005	0	0
96	153	60000029	70000029	80000013	0	0
101	156	60000029	70000029	80000005	0	0
97	160	60000029	70000029	80000005	0	0
91	155	60000029	70000029	80000013	0	0
92	161	60000029	70000029	80000005	0	0
90	167	60000029	70000029	80000005	0	0
87	158	60000029	70000029	80000013	0	0
86	163	60000029	70000029	80000005	0	0
86	171	60000029	70000029	80000005	0	0
81	158	60000029	70000029	80000013	0	0
80	162	60000029	70000029	80000005	0	0
