编号	名字	坐标X	坐标Y	图像	对话	商店	脚本
id	name	x	y	image	dialog	shop	script
0	持盾人	32	153	2	66000104	90000201	
0	回收商人	36	153	3	66000105	90000202	
0	无双银行	29	144	10	66000102	90000001	
0	奸商	34	153	3	66000103	90000002	
0	仓库管理员	28	141	5	66000101	0	
0	礼品使者	33	144	11	66000905	0	
0	烂赌鬼	38	153	3	bet	90000701	MoneyGambler
0	无双大秘境	40	147	26	68000000	0	
0	公会管理员	29	149	22	guildmanager	0	GuildManager
0	智慧老人	38	139	7	66000706	90000005	
0	深渊引导人	35	138	20	67000200	90000230	
0	终极武器锻造	43	147	24	65000059	0	
0	城市管理员	35	144	6	CityManager	0	CityManager
0	1	29	146	1	66000108	0	
