编号	名字	坐标X	坐标Y	图像	对话	商店	脚本	行为
id	name	x	y	image	dialog	shop	script	ai
65000014	传送使者	39	98	6	65000014	0	0	0
66000301	武器商人	53	51	4	66000304	90000401	0	0
66000302	防具商人	33	48	3	66000305	90000402	0	0
66000303	修女	31	69	10	66000302	90000001	0	0
66000304	奸商	26	33	3	66000303	90000002	0	0
66000305	智慧老人	47	40	7	66000306	90000005	0	0
66000306	仓库管理员	52	68	5	66000301		0	0
65000159	传送使者	43	52	9	65000159	0	0	0
65000067	传送使者	63	23	6	65000067	0	0	0
65000071	传送使者	63	9	6	65000071	0	0	0
67000007	同城传送NPC	40	79	6	67000007	0	0	0
66000308	开锁匠	39	45	11	66000230	90000230	0	0
66000309	礼品道具商人	34	58	11	66000300	0	0	0
0	公会管理员	35	29	22	guildmanager	0	GuildManager	0
