编号	名字	坐标X	坐标Y	图像	对话	商店	脚本	行为
id	name	x	y	image	dialog	shop	script	ai
65000039	传送使者	133	148	9	65000039	0	0	0
65000040	传送使者	1	26	9	65000040	0	0	0
66000505	修女	99	91	10	66000502	90000001	0	0
66000506	智慧老人	112	91	7	66000506	90000005	0	0
66000504	仓库管理员	99	75	5	66000501		0	0
65000162	传送使者	103	70	9	65000162	0	0	0
66000503	奸商	113	72	3	66000503	90000002	0	0
67000006	同城传送NPC	107	111	9	67000006	0	0	0
67000076	艾琳	71	123	13	67000076	0	0	10002008
66000508	开锁匠	101	65	11	66000230	90000230	0	0
66000509	礼品道具商人	99	60	11	66000300	0	0	0
0	公会管理员	105	59	22	guildmanager	0	GuildManager	0
66000922	礼品使者	108	96	11	66000922	0	0	0
