编号	名字	坐标X	坐标Y	图像	对话	商店	脚本
id	name	x	y	image	dialog	shop	script
0	传送使者	70	2	6	65000015	0	
0	传送使者	148	104	6	65000016	0	
0	传送使者	73	198	6	65000017	0	
0	传送使者	17	59	9	65000018	0	
0	传送使者	13	101	9	65000019	0	
0	武器商人	59	106	4	66000204	90000301	
0	防具商人	56	102	3	66000205	90000302	
0	奸商	56	97	3	66000203	90000002	
0	修女	68	102	10	66000202	90000001	
0	仓库管理员	71	102	5	66000201	0	
0	智慧老人	62	102	7	66000206	90000005	
0	奖品兑换员	96	94	11	prizeprovider	0	PrizeProvider
0	烂赌鬼	59	97	3	bet	0	MoneyGambler
0	肉肉首相	62	97	15	67000200	0	
0	传送使者	65	97	9	65000160	0	
0	礼品使者	68	106	11	66000921	0	
0	奥尔罗德	71	106	2	67000009	0	
0	布里奇特	62	106	5	67000011	0	
0	伯特卡罗	65	93	3	67000013	0	
0	菲雷德	56	106	5	67000014	0	
0	同城传送NPC	71	154	6	67000083	0	
0	同城传送NPC	72	74	6	67000084	0	
0	同城传送NPC	41	98	6	67000085	0	
0	同城传送NPC	111	98	6	67000088	0	
0	城市管理员	127	50	6	CityManager	0	CityManager
0	礼品道具商人	59	102	11	66000300	0	
0	公会管理员	65	106	22	guildmanager	0	GuildManager
0	竞技场专员	65	102	16	arena-enter	0	ArenaManager
0	试炼之塔守护者	68	97	19	68000000	0	
0	BOSS战场挑战者	68	93	30	boss	0	
