编号	名字	坐标X	坐标Y	图像	对话	商店	脚本	行为
id	name	x	y	image	dialog	shop	script	ai
65000027	传送使者	28	2	9	65000027	0	0	0
65000028	传送使者	1	182	9	65000028	0	0	0
65000029	传送使者	100	180	9	65000029	0	0	0
65000030	传送使者	85	162	6	65000030	0	0	0
66000406	仓库管理员	87	115	5	66000401	0	0	0
66000401	武器商人	95	96	4	66000404	90000401	0	0
66000402	防具商人	80	95	3	66000405	90000402	0	0
66000403	奸商	68	97	3	66000403	90000002	0	0
66000404	修女	76	120	10	66000402	90000001	0	0
66000405	智慧老人	97	121	7	66000406	90000005	0	0
65000161	传送使者	81	116	9	65000161	0	0	0
67000005	同城传送NPC	86	132	9	67000005	0	0	0
66000408	开锁匠	76	100	11	66000230	90000230	0	0
66000409	礼品道具商人	88	95	11	66000300	0	0	0
0	公会管理员	98	102	22	guildmanager	0	GuildManager	0
