编号	名字	坐标X	坐标Y	图像	对话	商店	脚本	行为
id	name	x	y	image	dialog	shop	script	ai
65010146	传送使者	43	141	9	65010146	0	0	0
65000146	传送使者	45	141	9	65000146	0	0	0
65000147	传送使者	102	128	6	65000147	0	0	0
65000164	传送使者	38	50	9	65000164	0	0	0
66000703	奸商	52	36	3	66000703	90000002	0	0
66000704	修女	58	52	10	66000702	90000001	0	0
66000705	智慧老人	63	84	7	66000706	90000005	0	0
66000706	仓库管理员	25	39	5	66000701	0	0	0
65000156	传送使者	72	20	6	65000156	0	0	0
65000157	传送使者	87	20	9	65000157	0	0	0
66000708	开锁匠	40	37	11	66000230	90000230	0	0
66000709	礼品道具商人	22	56	11	66000300	0	0	0
0	公会管理员	58	63	22	guildmanager	0	GuildManager	0
