编号	名字	坐标X	坐标Y	图像	对话	商店	脚本	行为
id	name	x	y	image	dialog	shop	script	ai
67000094	守护者	36	23	9	67000094	0	0	0
67000095	传送使者	30	22	9	67000095	0	0	0
67000096	传送使者	26	22	9	67000096	0	0	0
67000097	传送使者	21	22	9	67000097	0	0	0
67000098	传送使者	17	22	9	67000098	0	0	0
67000099	传送使者	12	22	9	67000099	0	0	0
67000100	传送使者	42	22	9	67000100	0	0	0
67000101	传送使者	47	22	9	67000101	0	0	0
67000102	传送使者	51	22	9	67000102	0	0	0
67000103	传送使者	56	22	9	67000103	0	0	0
67000104	传送使者	60	22	9	67000104	0	0	0
67000105	传送使者	29	42	9	67000105	0	0	0
67000106	传送使者	24	42	9	67000106	0	0	0
67000107	传送使者	20	42	9	67000107	0	0	0
67000108	传送使者	15	42	9	67000108	0	0	0
67000109	传送使者	11	42	9	67000109	0	0	0
67000110	传送使者	44	42	9	67000110	0	0	0
67000111	传送使者	48	42	9	67000111	0	0	0
67000112	传送使者	53	42	9	67000112	0	0	0
67000113	传送使者	57	42	9	67000113	0	0	0
67000114	传送使者	62	42	9	67000114	0	0	0
